"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"HMNF","HMN Financial, Inc.","11.41","51188671.59","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/hmnf",
"HMSY","HMS Holdings Corp","13.28","1115599494.08","n/a","United States","1992","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/hmsy",
"HNI","HNI Corporation","37.29","1646701788.6","n/a","United States","n/a","Consumer Durables","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/hni",
"HMLP","Hoegh LNG Partners LP","16.12","424151374.4","n/a","Bermuda","2014","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/hmlp",
"HEP","Holly Energy Partners, L.P.","33.26","1950933416.48","n/a","United States","2004","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/hep",
"HFC","HollyFrontier Corporation","35.33","6236402314.65","n/a","United States","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/hfc",
"HOLI","Hollysys Automation Technologies, Ltd.","21.23","1252540256.77","n/a","China","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/holi",
"HOLX","Hologic, Inc.","34.35","9749150361","n/a","United States","1990","Health Care","Medical Electronics","http://www.nasdaq.com/symbol/holx",
"HBCP","Home Bancorp, Inc.","26.99","195853501.79","n/a","United States","n/a","Finance","Banks","http://www.nasdaq.com/symbol/hbcp",
"HOMB","Home BancShares, Inc.","40.69","2856526297.3","n/a","United States","2006","Finance","Major Banks","http://www.nasdaq.com/symbol/homb",
"HD","Home Depot, Inc. (The)","130.46","165407789570.98","n/a","United States","n/a","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/hd",
"HFBL","Home Federal Bancorp, Inc. of Louisiana","22.5","45084397.5","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/hfbl",
"HMIN","Homeinns Hotel Group","35.52","1712444525.76","n/a","China","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/hmin",
"HMST","HomeStreet, Inc.","20.4","500826058.8","n/a","United States","2012","Finance","Major Banks","http://www.nasdaq.com/symbol/hmst",
"HTBI","HomeTrust Bancshares, Inc.","18.36","337174147.8","n/a","United States","2012","Finance","Savings Institutions","http://www.nasdaq.com/symbol/htbi",
"HMC","Honda Motor Company, Ltd.","26.69","48103074833.76","n/a","Japan","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/hmc",
"HON","Honeywell International Inc.","111.32","85641026341.2","n/a","United States","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/hon",
"CETC","Hongli Clean Energy Technologies Corp.","0.38","9104882.46","n/a","China","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/cetc",
